dur sec 14	1	2	3	total		dur seg 14	1a	1b	2a	2b	2c	3a	3b	total
Csengery+Keller 1987	00:31	00:23	00:15	01:10		Csengery+Keller 1987	00:07	00:24	00:11	00:07	00:05	00:05	00:10	01:10
Csengery+Keller 1990	00:29	00:20	00:14	01:03		Csengery+Keller 1990	00:07	00:22	00:09	00:06	00:05	00:05	00:10	01:03
Komsi+Oramo 1994	00:27	00:18	00:14	00:59		Komsi+Oramo 1994	00:06	00:20	00:08	00:05	00:05	00:05	00:09	00:59
Komsi+Oramo 1995	00:24	00:18	00:12	00:54		Komsi+Oramo 1995	00:06	00:18	00:08	00:06	00:05	00:04	00:08	00:54
Whittlesey+Sallaberger 1997	00:28	00:19	00:12	00:58		Whittlesey+Sallaberger 1997	00:07	00:20	00:09	00:06	00:04	00:04	00:08	00:58
Pammer+Kopatchinskaja 2004	00:26	00:18	00:15	00:58		Pammer+Kopatchinskaja 2004	00:07	00:19	00:08	00:05	00:04	00:04	00:11	00:58
Arnold+Pogossian 2004	00:29	00:20	00:14	01:02		Arnold+Pogossian 2004	00:07	00:21	00:09	00:06	00:05	00:05	00:09	01:02
Banse+Keller 2005	00:29	00:20	00:14	01:03		Banse+Keller 2005	00:07	00:22	00:09	00:06	00:06	00:05	00:10	01:03
Arnold+Pogossian 2006	00:29	00:20	00:13	01:02		Arnold+Pogossian 2006	00:07	00:22	00:09	00:06	00:05	00:05	00:09	01:02
Melzer+Stark 2012	00:28	00:20	00:14	01:02		Melzer+Stark 2012	00:07	00:21	00:09	00:06	00:05	00:05	00:09	01:02
Melzer+Stark 2013	00:27	00:20	00:14	01:01		Melzer+Stark 2013	00:07	00:21	00:09	00:06	00:05	00:05	00:09	01:01
Kammer+Widmann 2017	00:28	00:19	00:13	00:59		Kammer+Widmann 2017	00:07	00:20	00:08	00:06	00:05	00:04	00:08	00:59
Melzer+Stark 2017	00:28	00:20	00:14	01:02		Melzer+Stark 2017	00:07	00:21	00:09	00:06	00:05	00:05	00:09	01:02
Melzer+Stark 2019	00:27	00:20	00:14	01:01		Melzer+Stark 2019	00:07	00:21	00:09	00:06	00:05	00:05	00:09	01:01
mean 14	00:28	00:20	00:14	01:01		mean 14	00:07	00:21	00:09	00:06	00:05	00:05	00:09	01:01
min 14	00:24	00:18	00:12	00:54	KO95	min 14	00:06	00:18	00:08	00:05	00:04	00:04	00:08	00:54
max 14	00:31	00:23	00:15	01:10	CK87	max 14	00:07	00:24	00:11	00:07	00:06	00:05	00:11	01:10
rel stdv 14 (%)	6,42	6,70	7,52	5,87		rel stdv 14 (%)	6,83	6,77	8,78	7,42	7,49	7,31	9,18	5,87
dur sec 8	1	2	3	total		dur seg 8	1a	1b	2a	2b	2c	3a	3b	total
Csengery+Keller 1990	00:29	00:20	00:14	01:03		Csengery+Keller 1990	00:07	00:22	00:09	00:06	00:05	00:05	00:10	01:03
Komsi+Oramo 1995	00:24	00:18	00:12	00:54		Komsi+Oramo 1995	00:06	00:18	00:08	00:06	00:05	00:04	00:08	00:54
