dur sec 14	1	2	3	4	total		dur seg 14	1	2a	2b	3a	3b	4	total	
Csengery+Keller 1987	00:07	00:07	00:16	00:10	00:40		Csengery+Keller 1987	00:07	00:04	00:04	00:08	00:08	00:10	00:40	
Csengery+Keller 1990	00:06	00:08	00:16	00:10	00:40		Csengery+Keller 1990	00:06	00:04	00:04	00:07	00:09	00:10	00:40	
Komsi+Oramo 1994	00:06	00:06	00:12	00:10	00:34		Komsi+Oramo 1994	00:06	00:03	00:03	00:06	00:06	00:10	00:34	
Komsi+Oramo 1995	00:06	00:06	00:11	00:09	00:32		Komsi+Oramo 1995	00:06	00:03	00:03	00:05	00:06	00:09	00:32	
Whittlesey+Sallaberger 1997	00:05	00:09	00:17	00:10	00:41		Whittlesey+Sallaberger 1997	00:05	00:04	00:04	00:08	00:09	00:10	00:41	
Pammer+Kopatchinskaja 2004	00:06	00:07	00:13	00:12	00:37		Pammer+Kopatchinskaja 2004	00:06	00:04	00:03	00:06	00:07	00:12	00:37	
Arnold+Pogossian 2004	00:06	00:08	00:16	00:11	00:40		Arnold+Pogossian 2004	00:06	00:04	00:04	00:07	00:08	00:11	00:40	
Banse+Keller 2005	00:07	00:08	00:16	00:12	00:43		Banse+Keller 2005	00:07	00:04	00:04	00:07	00:09	00:12	00:43	
Arnold+Pogossian 2006	00:06	00:08	00:16	00:10	00:41		Arnold+Pogossian 2006	00:06	00:04	00:04	00:08	00:08	00:10	00:41	
Melzer+Stark 2012	00:05	00:07	00:15	00:10	00:37		Melzer+Stark 2012	00:05	00:03	00:03	00:08	00:08	00:10	00:37	
Melzer+Stark 2013	00:05	00:06	00:14	00:10	00:35		Melzer+Stark 2013	00:05	00:03	00:03	00:08	00:06	00:10	00:35	
Kammer+Widmann 2017	00:05	00:06	00:11	00:09	00:31		Kammer+Widmann 2017	00:05	00:03	00:03	00:05	00:06	00:09	00:31	
Melzer+Stark 2017	00:05	00:06	00:15	00:09	00:35		Melzer+Stark 2017	00:05	00:03	00:03	00:09	00:07	00:09	00:35	
Melzer+Stark 2019	00:06	00:05	00:14	00:10	00:35		Melzer+Stark 2019	00:06	00:03	00:03	00:08	00:06	00:10	00:35	
mean 14	00:06	00:07	00:14	00:10	00:37		mean 14	00:06	00:03	00:03	00:07	00:07	00:10	00:37	
min 14	00:05	00:05	00:11	00:09	00:31	KW 2017	min 14	00:05	00:03	00:03	00:05	00:06	00:09	00:31	KW 2017
max 14	00:07	00:09	00:17	00:12	00:43	BK 2005	max 14	00:07	00:04	00:04	00:09	00:09	00:12	00:43	BK 2005
rel stdv (%) 14	11,34	15,39	14,71	9,92	9,91		rel stdv (%) 14	11,34	13,82	17,97	16,95	17,78	9,92	9,91	
dur sec 8	1	2	3	4	total		dur seg 8	1	2a	2b	3a	3b	4	total	
Csengery+Keller 1990	00:06	00:08	00:16	00:10	00:40		Csengery+Keller 1990	00:06	00:04	00:04	00:07	00:09	00:10	00:40	
Komsi+Oramo 1995	00:06	00:06	00:11	00:09	00:32		Komsi+Oramo 1995	00:06	00:03	00:03	00:05	00:06	00:09	00:32	
