dur	Csengery+Keller 1987	Csengery+Keller 1990	Komsi+Oramo 1994	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Arnold+Pogossian 2006	Melzer+Stark 2012	Melzer+Stark 2013	Kammer+Widmann 2017	Melzer+Stark 2017	Melzer+Stark 2019	dur mean 14	dur min 14	dur max 14	min	max		dur rel stdv (%) 14	dur rel range - (%) 14	dur rel range + (%) 14	dur rel range (%) 14	
1	01:10	01:03	00:59	00:54	00:58	00:58	01:02	01:03	01:02	01:02	01:01	00:59	01:02	01:01	01:01	00:54	01:10	KO95	CK87	1	5,87	-11,39	14,44	25,83	1
2	00:35	00:31	00:31	00:32	00:32	00:33	00:37	00:35	00:33	00:34	00:31	00:29	00:31	00:33	00:33	00:29	00:37	KW17	AP04	2	6,42	-10,75	12,86	23,61	2
3	00:19	00:19	00:16	00:19	00:21	00:20	00:19	00:20	00:19	00:23	00:23	00:22	00:22	00:23	00:20	00:16	00:23	KO94	MS12; MS19	3	10,41	-21,11	15,04	36,15	3
4	00:20	00:16	00:26	00:25	00:21	00:17	00:21	00:26	00:22	00:20	00:20	00:21	00:18	00:22	00:21	00:16	00:26	CK90	KO94; BK05	4	14,37	-24,19	24,41	48,59	4
5	00:52	00:54	01:13	01:12	00:55	00:48	01:10	00:56	01:03	00:59	01:00	00:54	01:00	01:02	01:00	00:48	01:13	PK04	KO94	5	12,64	-19,13	22,10	41,23	5
6	01:31	01:30	01:00	01:04	01:29	01:24	01:27	01:24	01:26	01:16	01:15	01:09	01:16	01:16	01:19	01:00	01:31	KO94	CK87	6	12,38	-23,94	15,05	38,99	6
7	00:32	00:31	00:18	00:19	00:30	00:28	00:25	00:30	00:24	00:21	00:21	00:23	00:19	00:21	00:24	00:18	00:32	KO94	CK87	7	19,54	-25,78	29,59	55,37	7
8	00:09	00:11	00:11	00:10	00:14	00:09	00:10	00:12	00:09	00:12	00:10	00:13	00:09	00:10	00:11	00:09	00:14	CK87; PK04;  AP06;MS17	WS97	8	15,26	-17,02	36,39	53,41	8
9	00:19	00:21	00:21	00:23	00:26	00:24	00:23	00:22	00:22	00:21	00:22	00:24	00:22	00:22	00:22	00:19	00:26	CK87	WS97	9	7,99	-16,10	18,12	34,22	9
10	00:13	00:13	00:11	00:10	00:15	00:17	00:15	00:17	00:16	00:16	00:15	00:12	00:14	00:16	00:14	00:10	00:17	KO95	PK04; BK05	10	14,04	-26,83	19,48	46,31	10
11	01:15	01:21	01:20	01:16	01:00	01:15	01:17	01:09	01:18	01:07	01:08	01:00	01:09	01:15	01:12	01:00	01:21	WS97; KW17	CK90	11	9,52	-17,19	12,15	29,34	11
12	00:12	00:12	00:09	00:09	00:12	00:09	00:13	00:13	00:12	00:12	00:11	00:12	00:12	00:12	00:11	00:09	00:13	KO94; KO95; PK04	AP04; BK05	12	11,61	-21,22	12,92	34,14	12
13	00:36	00:42	00:23	00:26	00:37	00:40	00:33	00:41	00:33	00:34	00:33	00:36	00:34	00:36	00:35	00:23	00:42	KO94	CK90	13	14,85	-32,72	20,99	53,71	13
14	00:22	00:21	00:27	00:21	00:22	00:27	00:27	00:22	00:25	00:21	00:21	00:24	00:22	00:22	00:23	00:21	00:27	CK90; KO95; MS12; MS13	KO94; PK04; AP04	14	9,98	-11,19	15,91	27,09	14
15	01:09	00:59	00:47	00:40	00:53	00:58	01:09	01:13	01:07	00:45	00:48	00:53	00:59	00:58	00:57	00:40	01:13	KO95	BK05	15	17,31	-29,08	27,27	56,35	15
16	01:11	01:04	00:47	00:44	00:51	00:46	01:04	01:11	01:03	01:02	01:08	00:57	01:06	01:09	01:00	00:44	01:11	KO95	CK87; BK05	16	16,04	-27,44	18,63	46,07	16
17	00:38	00:39	00:40	00:38	00:39	00:44	00:39	00:41	00:37	00:40	00:39	00:34	00:39	00:40	00:39	00:34	00:44	KW17	PK04	17	5,74	-12,51	12,58	25,09	17
