dur	Csengery+Keller 1990	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Melzer+Stark 2012	Kammer+Widmann 2017	dur mean 8	dur min 8	dur max 8	min	max	dur rel stdv (%) 8	dur rel range - (%) 8	dur rel range + (%) 8	dur rel range (%) 8	
1	01:03	00:54	00:58	00:58	01:02	01:03	01:02	00:59	01:00	00:54	01:03	KO95	CK90; BK05	5,45	-9,86	5,58	15,45	1
2	00:31	00:32	00:32	00:33	00:37	00:35	00:34	00:29	00:33	00:29	00:37	KW17	AP04	7,30	-11,15	12,36	23,50	2
3	00:19	00:19	00:21	00:20	00:19	00:20	00:23	00:22	00:20	00:19	00:23	CK90; KO95; AP04	MS12	8,30	-8,70	14,62	23,33	3
4	00:16	00:25	00:21	00:17	00:21	00:26	00:20	00:21	00:21	00:16	00:26	CK90	BK05	16,31	-23,72	25,18	48,89	4
5	00:54	01:12	00:55	00:48	01:10	00:56	00:59	00:54	00:59	00:48	01:12	PK04	KO95	14,02	-17,36	22,44	39,80	5
6	01:30	01:04	01:29	01:24	01:27	01:24	01:16	01:09	01:20	01:04	01:30	KO95	CK90	11,96	-20,47	12,17	32,65	6
7	00:31	00:19	00:30	00:28	00:25	00:30	00:21	00:23	00:26	00:19	00:31	KO95	CK90	16,99	-26,18	18,61	44,78	7
8	00:11	00:10	00:14	00:09	00:10	00:12	00:12	00:13	00:11	00:09	00:14	PK04	WS97	14,88	-19,82	27,18	47,00	8
9	00:21	00:23	00:26	00:24	00:23	00:22	00:21	00:24	00:23	00:21	00:26	CK90; MS12	WS97	7,85	-9,73	14,57	24,30	9
10	00:13	00:10	00:15	00:17	00:15	00:17	00:16	00:12	00:14	00:10	00:17	KO95	PK04; BK05	16,16	-27,53	18,33	45,86	10
11	01:21	01:16	01:00	01:15	01:17	01:09	01:07	01:00	01:11	01:00	01:21	WS97; KW17	CK90	11,29	-15,39	14,59	29,98	11
12	00:12	00:09	00:12	00:09	00:13	00:13	00:12	00:12	00:11	00:09	00:13	KO95; PK04	AP04; BK05	12,75	-20,18	12,02	32,19	12
13	00:42	00:26	00:37	00:40	00:33	00:41	00:34	00:36	00:36	00:26	00:42	KO95	CK90	14,23	-27,90	16,00	43,90	13
14	00:21	00:21	00:22	00:27	00:27	00:22	00:21	00:24	00:23	00:21	00:27	CK90; KO95; MS12	PK04; AP04	10,79	-10,79	16,42	27,21	14
15	00:59	00:40	00:53	00:58	01:09	01:13	00:45	00:53	00:56	00:40	01:13	KO95	BK05	19,47	-27,99	29,23	57,22	15
16	01:04	00:44	00:51	00:46	01:04	01:11	01:02	00:57	00:57	00:44	01:11	KO95	BK05	16,98	-23,92	24,39	48,30	16
17	00:39	00:38	00:39	00:44	00:39	00:41	00:40	00:34	00:39	00:34	00:44	KW17	PK04	7,17	-13,17	11,73	24,90	17
18	02:04	02:39	02:11	01:51	02:18	02:14	02:19	01:55	02:11	01:51	02:39	PK04	KO95	11,68	-15,67	21,40	37,07	18
19	01:12	01:00	01:17	01:05	00:59	01:09	01:06	01:04	01:06	00:59	01:17	AP04	WS97	9,07	-10,86	15,90	26,76	19
20	07:01	05:28	04:57	05:17	07:08	07:17	07:20	05:12	06:12	04:57	07:20	WS97	MS12	17,17	-20,22	18,25	38,48	20
21	00:40	00:32	00:41	00:37	00:40	00:43	00:37	00:31	00:38	00:31	00:43	KW17	BK05	11,25	-17,37	14,16	31,54	21
22	00:20	00:16	00:20	00:21	00:23	00:29	00:26	00:16	00:21	00:16	00:29	KO95; KW17	BK05	21,64	-26,99	37,50	64,49	22
23	00:52	00:58	00:52	00:56	01:12	00:56	00:48	00:48	00:55	00:48	01:12	MS12; KW17	AP04	14,18	-13,52	30,93	44,46	23
24	01:47	01:23	01:37	01:29	02:05	01:40	01:46	01:20	01:38	01:20	02:05	KW17	AP04	14,92	-18,53	27,37	45,90	24
25	00:15	00:14	00:13	00:17	00:17	00:16	00:15	00:13	00:15	00:13	00:17	WS97; KW17	PK04; AP04	12,11	-16,28	16,59	32,87	25
26	00:33	00:25	00:24	00:22	00:29	00:30	00:32	00:16	00:26	00:16	00:33	KW17	CK90	21,38	-38,65	24,15	62,81	26
27	00:42	00:39	00:40	00:37	00:37	00:43	00:40	00:44	00:40	00:37	00:44	PK04; AP04	KW17	6,56	-8,66	10,32	18,98	27
28	00:43	00:52	00:48	00:42	00:48	00:48	00:50	00:41	00:46	00:41	00:52	KW17	KO95	8,49	-11,73	12,45	24,18	28
29	00:58	00:56	00:47	00:58	01:29	01:05	01:24	00:53	01:04	00:47	01:29	WS97	AP04	23,11	-25,63	39,30	64,92	29
30	00:21	00:19	00:22	00:22	00:22	00:23	00:17	00:18	00:21	00:17	00:23	MS12	BK05	10,67	-16,11	13,39	29,50	30
31	02:12	02:17	01:52	02:18	02:38	02:39	01:57	02:08	02:15	01:52	02:39	WS97	BK05	12,71	-17,29	18,00	35,29	31
32	03:30	04:04	03:51	03:41	04:10	03:46	03:54	03:36	03:49	03:30	04:10	CK90	AP04	5,95	-8,30	9,24	17,54	32
33	03:10	03:15	02:39	02:51	03:39	03:29	03:42	02:36	03:10	02:36	03:42	KW17	MS12	13,66	-18,10	16,81	34,90	33
34	00:55	01:01	01:08	00:48	01:06	00:55	01:01	00:49	00:58	00:48	01:08	PK04	WS97	12,59	-17,31	16,76	34,07	34
35	00:33	00:37	00:39	00:33	00:36	00:40	00:39	00:35	00:36	00:33	00:40	CK90; PK04	BK05	7,31	-9,57	9,85	19,43	35
36	00:44	01:01	00:52	00:53	00:51	00:56	01:17	01:09	00:58	00:44	01:17	CK90	MS12	18,35	-24,02	32,72	56,74	36
37	01:48	01:31	02:02	01:53	01:53	02:03	02:10	01:37	01:52	01:31	02:10	KO95	MS12	11,95	-19,03	16,21	35,24	37
38	02:38	02:56	02:27	02:30	02:26	02:38	02:44	02:12	02:34	02:12	02:56	KW17	KO95	8,61	-14,32	14,24	28,56	38
39	01:28	01:27	01:33	01:26	01:24	01:32	01:36	01:18	01:28	01:18	01:36	KW17	MS12	6,34	-11,18	8,93	20,11	39
40	06:17	06:47	06:42	06:01	07:10	06:06	06:10	05:22	06:19	05:22	07:10	KW17	AP04	8,78	-15,21	13,29	28,50	40
	51:50	50:21	49:27	48:25	56:12	54:35	53:54	45:37	51:18	45:37	56:12	KW17	AP04	6,87	-11,07	9,57	20,64	
perc total	Csengery+Keller 1990	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Melzer+Stark 2012	Kammer+Widmann 2017	perc total mean 8	perc total min 8	perc total max 8	min	max	perc total abs stdv 8	perc total range - 8	perc total range + 8	perc total range 8	
1	2,03	1,79	1,95	2,00	1,84	1,94	1,92	2,17	1,96	1,79	2,17	KO95	KW17	0,12	-0,16	0,21	0,38	1
2	1,01	1,06	1,07	1,12	1,09	1,07	1,04	1,06	1,07	1,01	1,12	CK90	PK04	0,03	-0,06	0,06	0,11	2
3	0,61	0,61	0,71	0,68	0,57	0,60	0,72	0,81	0,66	0,57	0,81	AP04	KW17	0,08	-0,10	0,15	0,24	3
4	0,51	0,82	0,69	0,59	0,63	0,80	0,63	0,77	0,68	0,51	0,82	CK90	KO95	0,11	-0,17	0,14	0,31	4
5	1,75	2,38	1,86	1,67	2,09	1,72	1,81	1,97	1,90	1,67	2,38	PK04	KO95	0,23	-0,24	0,47	0,71	5
6	2,90	2,12	3,00	2,88	2,58	2,57	2,36	2,53	2,61	2,12	3,00	KO95	WS97	0,30	-0,50	0,38	0,88	6
7	0,99	0,63	1,00	0,95	0,75	0,92	0,65	0,85	0,84	0,63	1,00	KO95	WS97	0,15	-0,21	0,16	0,37	7
8	0,34	0,34	0,49	0,31	0,30	0,37	0,37	0,46	0,37	0,30	0,49	AP04	WS97	0,07	-0,07	0,12	0,18	8
9	0,68	0,76	0,89	0,83	0,68	0,68	0,64	0,87	0,75	0,64	0,89	MS12	WS97	0,10	-0,11	0,14	0,25	9
10	0,41	0,34	0,49	0,58	0,45	0,52	0,48	0,45	0,47	0,34	0,58	KO95	PK04	0,07	-0,12	0,11	0,24	10
11	2,60	2,52	2,02	2,59	2,28	2,10	2,08	2,18	2,30	2,02	2,60	WS97	CK90	0,24	-0,28	0,30	0,58	11
12	0,39	0,31	0,41	0,32	0,37	0,39	0,37	0,43	0,37	0,31	0,43	KO95	KW17	0,04	-0,07	0,05	0,12	12
13	1,35	0,86	1,25	1,37	0,99	1,25	1,04	1,33	1,18	0,86	1,37	KO95	PK04	0,19	-0,32	0,19	0,50	13
14	0,68	0,70	0,74	0,92	0,80	0,68	0,64	0,87	0,75	0,64	0,92	MS12	PK04	0,10	-0,12	0,17	0,29	14
15	1,91	1,34	1,80	1,98	2,04	2,22	1,38	1,93	1,82	1,34	2,22	KO95	BK05	0,31	-0,48	0,39	0,88	15
16	2,06	1,45	1,71	1,59	1,91	2,18	1,92	2,08	1,86	1,45	2,18	KO95	BK05	0,26	-0,42	0,32	0,74	16
17	1,26	1,26	1,33	1,52	1,14	1,27	1,25	1,25	1,28	1,14	1,52	AP04	PK04	0,11	-0,14	0,23	0,37	17
18	3,97	5,28	4,41	3,81	4,09	4,09	4,29	4,20	4,27	3,81	5,28	PK04	KO95	0,45	-0,46	1,01	1,46	18
19	2,30	1,97	2,59	2,22	1,75	2,11	2,05	2,34	2,17	1,75	2,59	AP04	WS97	0,26	-0,41	0,43	0,84	19
20	13,52	10,85	10,01	10,90	12,68	13,35	13,62	11,40	12,04	10,01	13,62	WS97	MS12	1,42	-2,03	1,58	3,60	20
21	1,28	1,06	1,37	1,29	1,19	1,31	1,15	1,14	1,22	1,06	1,37	KO95	WS97	0,11	-0,17	0,15	0,32	21
22	0,65	0,52	0,68	0,72	0,67	0,90	0,80	0,59	0,69	0,52	0,90	KO95	BK05	0,12	-0,17	0,21	0,38	22
23	1,67	1,92	1,74	1,93	2,14	1,70	1,48	1,76	1,79	1,48	2,14	MS12	AP04	0,20	-0,32	0,35	0,67	23
24	3,44	2,76	3,26	3,06	3,72	3,06	3,27	2,93	3,19	2,76	3,72	KO95	AP04	0,30	-0,43	0,53	0,96	24
25	0,49	0,47	0,43	0,59	0,52	0,48	0,46	0,46	0,49	0,43	0,59	WS97	PK04	0,05	-0,06	0,10	0,16	25
26	1,05	0,83	0,81	0,75	0,85	0,92	0,98	0,59	0,85	0,59	1,05	KW17	CK90	0,14	-0,26	0,20	0,46	26
27	1,34	1,31	1,34	1,27	1,10	1,30	1,24	1,62	1,32	1,10	1,62	AP04	KW17	0,15	-0,22	0,31	0,53	27
28	1,38	1,73	1,60	1,46	1,42	1,45	1,54	1,50	1,51	1,38	1,73	CK90	KO95	0,11	-0,13	0,22	0,35	28
29	1,87	1,87	1,60	2,01	2,64	1,97	2,59	1,95	2,06	1,60	2,64	AP04	WS97	0,36	-0,46	0,58	1,04	29
30	0,66	0,63	0,75	0,77	0,65	0,71	0,54	0,67	0,67	0,54	0,77	MS12	PK04	0,08	-0,14	0,10	0,24	30
31	4,25	4,52	3,76	4,74	4,68	4,86	3,61	4,66	4,38	3,61	4,86	MS12	BK05	0,47	-0,78	0,48	1,25	31
32	6,76	8,08	7,79	7,61	7,43	6,91	7,24	7,91	7,47	6,76	8,08	CK90	KO95	0,47	-0,71	0,62	1,33	32
33	6,12	6,47	5,37	5,89	6,50	6,37	6,87	5,69	6,16	5,37	6,87	WS97	MS12	0,49	-0,79	0,71	1,50	33
34	1,78	2,02	2,29	1,65	1,97	1,69	1,90	1,80	1,89	1,65	2,29	PK04	WS97	0,21	-0,23	0,40	0,63	34
35	1,06	1,22	1,30	1,14	1,08	1,22	1,20	1,28	1,19	1,06	1,30	CK90	WS97	0,09	-0,13	0,11	0,24	35
36	1,41	2,00	1,75	1,83	1,52	1,71	2,37	2,52	1,89	1,41	2,52	CK90	KW17	0,39	-0,48	0,63	1,11	36
37	3,46	3,00	4,10	3,89	3,34	3,77	4,03	3,54	3,64	3,00	4,10	KO95	WS97	0,37	-0,64	0,46	1,09	37
38	5,09	5,82	4,96	5,18	4,33	4,84	5,07	4,82	5,01	4,33	5,82	AP04	KO95	0,42	-0,68	0,81	1,49	38
39	2,83	2,89	3,12	2,96	2,50	2,82	2,97	2,86	2,87	2,50	3,12	AP04	WS97	0,18	-0,37	0,25	0,62	39
40	12,13	13,49	13,54	12,44	12,75	11,17	11,44	11,75	12,34	11,17	13,54	BK05	WS97	0,89	-1,17	1,20	2,37	40
	100,00	100,00	100,00	100,00	100,00	100,00	100,00	100,00										
dur parts	Csengery+Keller 1990	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Melzer+Stark 2012	Kammer+Widmann 2017	dur mean 8	dur min 8	dur max 8			dur rel stdv (%) 8	dur rel range - (%) 8	dur rel range + (%) 8	dur rel range (%) 8	
I	14:23	13:22	14:03	13:31	14:48	15:00	13:49	13:01	14:00	13:01	15:00			4,99	-6,95	7,11	14,07	I
II	07:01	05:28	04:57	05:17	07:08	07:17	07:20	05:12	06:12	04:57	07:20			17,17	-20,22	18,25	38,48	II
III	12:52	12:56	12:26	12:41	15:10	13:58	13:25	11:45	13:09	11:45	15:10			7,94	-10,63	15,35	25,98	III
IV	17:34	18:35	18:01	16:56	19:06	18:20	19:19	15:38	17:56	15:38	19:19			6,76	-12,84	7,71	20,55	IV
	51:50	50:21	49:27	48:25	56:12	54:35	53:54	45:37	51:18	45:37	56:12			6,87	-11,07	9,57	20,64	
perc parts	Csengery+Keller 1990	Komsi+Oramo 1995	Whittlesey+Sallaberger 1997	Pammer+Kopatchinskaja 2004	Arnold+Pogossian 2004	Banse+Keller 2005	Melzer+Stark 2012	Kammer+Widmann 2017	mean 8	min 8	max 8			rel stdv (%) 8	rel range - (%) 8	rel range + (%) 8	rel range (%) 8	
I	27,76	26,54	28,42	27,93	26,35	27,47	25,64	28,55	27,33	25,64	28,55			1,05	-1,69	1,22	2,91	I
II	13,52	10,85	10,01	10,90	12,68	13,35	13,62	11,40	12,04	10,01	13,62			1,42	-2,03	1,58	3,60	II
III	24,83	25,69	25,15	26,19	27,00	25,58	24,90	25,77	25,64	24,83	27,00			0,72	-0,81	1,36	2,17	III
IV	33,88	36,93	36,43	34,98	33,98	33,59	35,84	34,27	34,99	33,59	36,93			1,27	-1,39	1,94	3,33	IV
